date_time,time_stamp,commit_id,la,ld,lt,ns,nd,nf,entropy,fix,ndev,age,nuc,exp,rexp,sexp,bug
"08/11/2004, 17:07:37",1092258457,20d9cee957c322cb5382eab53abe95d4ab37521a,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0
"08/26/2004, 10:13:46",1093529626,95e7b46943f64284752472e55efb29f9715c3986,497429,0,0.0,3,106,1370,0.522715,0,0.0,0.0,0.0,1,0.961253,0,1
"08/27/2004, 19:06:40",1093648000,c7d0ecf0d4bc9066446b870bdc828ddbb4c8213c,202,0,0.0,1,1,1,0.0,0,0.0,0.0,0.0,0,0.0,0,0
"09/23/2004, 12:39:02",1095957542,42261f87b218cdd63d8e8b311d528e5efe326c5b,1447,1392,1200.3,2,9,10,0.121933,0,1.0,28.1009,0.1,0,0.0,0,1
"09/23/2004, 12:59:54",1095958794,d2a30a0737187e912c1baf7e640ceca94180838f,38,93,1274.67,2,9,9,0.398353,0,2.0,0.0144907,0.222222,1,0.99996,2,0
"09/23/2004, 17:30:27",1095975027,eac036999fab0e9f9509022d833a1c99cad1b415,473629,473629,368.87,2,101,1284,0.519283,0,2.0,28.1719,0.00233645,2,1.99893,2,1
"09/24/2004, 13:33:20",1096047200,fe77ca5f4828833a331cc4890854c08ff51b03f9,22440,22440,273.659,1,10,82,0.589196,0,2.0,28.4528,0.0365854,3,2.99209,3,1
"09/27/2004, 13:18:30",1096305510,0a7339d4d276596583e6bb921186627ae5a6795d,64,20,1813.0,2,6,6,0.310256,0,2.0,3.5779,0.833333,4,3.95972,6,1
"09/27/2004, 13:39:32",1096306772,8a59b6cb1e686b828ca27226e400278f4509a0f0,16,16,318.0,1,1,1,0.0,1,2.0,3.83964,4.0,5,4.95952,5,0
"09/27/2004, 16:17:55",1096316275,92b00e00875f2c710b45c009a0b78a3108c88c19,32,0,0.0,1,1,1,0.0,0,0.0,0.0,0.0,6,5.95774,3,0
"09/30/2004, 15:01:28",1096570888,d78740a18630ddfb9743cee73677ed8f1a1170c1,51,68,420.5,2,2,2,0.129404,0,2.0,4.98402,2.5,0,0.0,0,1
"09/30/2004, 15:20:48",1096572048,d5c9f28c5e353dc79ff116bcddbcf7b930b68dd6,0,3,299.0,1,1,1,0.0,1,2.0,6.90997,2.0,1,0.999963,0,0
"09/30/2004, 15:44:28",1096573468,70c561e546f5fb11991085c6142fa546716fb281,1,3,1039.0,1,1,1,0.0,1,2.0,6.9264,2.0,0,0.0,0,0
"09/30/2004, 18:16:53",1096582613,d97ef5532c1d4b77b16c8d378c2e889528094824,11,11,82.5,1,1,2,0.450982,0,2.0,7.03225,1.0,1,0.99971,1,1
"09/30/2004, 18:54:53",1096584893,35cfb617856199e82d2992d5da048f3bed8d0b38,51,2,382.0,2,2,2,0.360114,0,3.0,0.0810475,2.5,2,1.99957,0,1
"10/01/2004, 18:32:49",1096669969,8507462dc67fea43649306419bd06edaec62d7d3,2,2,1235.0,1,1,1,0.0,0,2.0,8.04331,2.0,2,1.99377,1,0
"10/01/2004, 23:52:19",1096689139,44ccfc1336ecf05effdc771f619ba16a2864abec,2,2,772.0,1,1,1,0.0,1,4.0,1.20655,6.0,3,2.99196,1,0
"10/04/2004, 12:15:44",1096906544,92ee7b233f4daae7b061b9dd72eb2583e2235851,4,17,429.0,1,1,1,0.0,1,2.0,10.7814,2.0,7,6.83065,6,0
"10/04/2004, 17:26:09",1096925169,bff3c2ee9fcfbd72a6363793bce0dffa310519ed,0,15,563.357,1,9,14,0.965872,0,2.0,10.1672,0.285714,8,7.82613,7,0
"10/05/2004, 13:59:58",1096999198,0641e2fe571ab1df326f2cd5bf293609fbfdd879,1,6,1227.0,1,1,1,0.0,0,2.0,11.8538,2.0,0,0.0,0,0
"10/05/2004, 16:21:17",1097007677,482b71033cda0be425ecbae359652ad8a0ac7844,3,1,1788.0,1,1,1,0.0,1,2.0,11.952,2.0,9,8.80354,8,1
"10/05/2004, 18:21:33",1097014893,99bc32ad6f7b82a741b922f956c2add346f12fab,12,1,197.0,1,1,1,0.0,1,2.0,12.0355,4.0,0,0.0,0,1
