date_time,time_stamp,commit_id,la,ld,lt,ns,nd,nf,entropy,fix,ndev,age,nuc,exp,rexp,sexp,bug
"05/12/2003, 11:07:54",1052752074,4a8cbc286781f1ecff6b8e0f8e20e30eb9f5a709,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0
"05/12/2003, 11:07:54",1052752074,925847780e3c03b04936f41a1739efe16702184d,462,0,0.0,2,2,7,0.254686,0,0.0,0.0,0.0,0,0.0,0,0
"05/12/2003, 15:04:38",1052766278,e4694325bc52209c0700294437d4e260991e9f82,1546,2,26.6667,2,3,9,0.33501,0,1.0,0.0182665,0.111111,1,0.99955,2,0
"05/12/2003, 15:28:54",1052767734,352f134f0ed563bdfd979b1b78fe8d48a18888e8,94,0,0.0,1,1,1,0.0,0,0.0,0.0,0.0,0,0.0,0,0
"05/12/2003, 16:32:26",1052771546,9b7cfb86b26842a3a1a33b5142485cc19d8f1213,4,4,91.5,1,1,2,0.674494,0,1.0,0.22537,0.5,1,0.999879,1,0
"05/13/2003, 15:08:14",1052852894,ccf6befd5fe1de9967e19f17ee41df72fb70bfa2,30,6,260.667,1,1,3,0.295607,0,1.0,1.0025,0.333333,2,1.99473,0,0
"05/15/2003, 01:19:57",1052975997,f039b677b85cde38e3287aa31ee78ad6bc2fd058,538,0,0.0,1,2,2,0.942049,0,0.0,0.0,0.0,3,2.98311,1,0
"05/15/2003, 01:39:01",1052977141,97568dc06f50372c16e333e4c8367f845758470a,844,205,58.375,1,2,8,0.300867,0,1.0,0.915204,0.125,4,3.98297,2,0
"05/15/2003, 01:47:51",1052977671,52590a7d00226c6d8861380d8ac91514cfbce87b,23,3,87.0,1,1,1,0.0,0,2.0,2.38571,2.0,5,4.98288,2,0
"05/15/2003, 02:33:19",1052980399,5ae92f12c702200ade207c84e26fc76f07756696,556,190,127.571,1,2,7,0.262999,1,1.0,0.0234392,0.285714,6,5.98237,3,0
"05/15/2003, 11:38:48",1053013128,5f2a1cbbc56a16acf7a045e9b81da75d481202b0,404,15,149.167,2,3,6,0.169454,0,1.0,0.734398,0.666667,7,6.97515,7,0
"05/15/2003, 17:58:23",1053035903,065a88e24188fd324e7f6e5f70aefaf95c9a49b9,300,0,0.0,1,2,3,0.89069,0,0.0,0.0,0.0,8,7.96941,5,0
"05/15/2003, 23:55:34",1053057334,7651a6b14d5be6151432e7d709efd884d9ec3a6c,404,238,174.0,1,2,6,0.266383,0,1.0,0.297162,0.666667,9,8.96334,6,0
"05/16/2003, 00:23:06",1053058986,0700b0f482ca6bf4290ac92f47ef01c0df99191d,197,56,182.667,1,2,6,0.31834,0,1.0,0.0159336,0.666667,10,9.96282,7,0
"05/16/2003, 01:23:29",1053062609,71dfdabde1f5e9f0def1d2035822518b43e70587,225,18,174.667,1,1,6,0.516737,0,2.0,0.591464,1.16667,11,10.9616,8,0
"05/17/2003, 19:24:21",1053213861,d6f7028269df96a72cccf7b72a41b89aaa820e9f,592,180,157.0,2,3,8,0.355597,0,1.0,1.40026,1.0,12,11.9046,13,0
"05/17/2003, 20:55:18",1053219318,5879d3be8948f4bc12a3f5860709b1b8ab5afa0d,16,12,240.0,1,1,1,0.0,0,1.0,5.24352,2.0,13,12.9024,5,0
"05/17/2003, 20:58:52",1053219532,60f4205f1ff413a8075705787199c719ad943e40,1142,1,23.25,1,2,4,0.188343,0,2.0,0.701363,0.5,14,13.9023,10,0
"05/20/2003, 06:24:32",1053426272,2ebf818b422f86b8bb706fa9f8472f8b0dc83cd5,11,9,32.3333,2,2,3,0.131653,0,2.0,3.42056,1.33333,2,1.95857,2,0
"05/20/2003, 06:27:26",1053426446,526e1c4171d1780c16a15939d68af10bd7c0d426,284,0,0.0,1,1,5,0.513464,0,0.0,0.0,0.0,3,2.95855,1,0
"05/20/2003, 06:27:57",1053426477,118ae331020ac911d5d8c5c9b687a3b1568e1e24,17,0,0.0,1,1,1,0.0,0,0.0,0.0,0.0,4,3.95855,2,0
"05/20/2003, 09:24:50",1053437090,a008ed131630962f216bd8feb81ad7af041685d9,5,0,94.0,1,1,1,0.0,0,2.0,0.125208,4.0,15,14.8009,6,0
"05/20/2003, 14:15:29",1053454529,437e275a504d5d2de36365419e048ad9a05d83df,1347,1277,209.5,1,1,10,0.683295,0,2.0,4.20542,0.9,16,15.7923,11,0
